name,link
"""One Eye""",https://starwars.fandom.com/wiki/%22One_Eye%22
1-JAC,https://starwars.fandom.com/wiki/1-JAC
Rel Acoi,https://starwars.fandom.com/wiki/Rel_Acoi
Oovo Adnan,https://starwars.fandom.com/wiki/Oovo_Adnan
Shahan Alama,https://starwars.fandom.com/wiki/Shahan_Alama
Shahan Alama/Legends,https://starwars.fandom.com/wiki/Shahan_Alama/Legends
Elarea Aldraste,https://starwars.fandom.com/wiki/Elarea_Aldraste
Mill Alibeth,https://starwars.fandom.com/wiki/Mill_Alibeth
Amanaman,https://starwars.fandom.com/wiki/Amanaman
Amanaman/Legends,https://starwars.fandom.com/wiki/Amanaman/Legends
Amzartho,https://starwars.fandom.com/wiki/Amzartho
Keeth Anak,https://starwars.fandom.com/wiki/Keeth_Anak
Odon Anak,https://starwars.fandom.com/wiki/Odon_Anak
Anda,https://starwars.fandom.com/wiki/Anda
Anonymous hunter,https://starwars.fandom.com/wiki/Anonymous_hunter
Anti,https://starwars.fandom.com/wiki/Anti
Mol Arcasite,https://starwars.fandom.com/wiki/Mol_Arcasite
Armx,https://starwars.fandom.com/wiki/Armx
Tern Ashandrik,https://starwars.fandom.com/wiki/Tern_Ashandrik
Garim Ayrvn,https://starwars.fandom.com/wiki/Garim_Ayrvn
